month,date,hour,R-value [m2k/w],Stories,Weighted temp. setpoint [C],Weighted RH%,Solar irradiation [w/m2],Outside temp. [C],Outside RH%,Heating Load [kwh],Cooling load [kwh]
2,14,21,3.4,9,18,63,0,-6,73,151.41,21.6
2,14,22,3.7,22,19,79,0,-8,73,356.52,44
2,14,23,4.3,12,19,75,0,-9,73,169.45,21.6
2,14,24,3.8,12,19,64,0,-10,73,196.23,19.2
2,15,1,4.1,18,17,73,0,-12,73,270.44,21.6
2,15,2,3.3,12,19,65,0,-12,73,233.02,14.4
2,15,3,3.5,27,19,63,0,-11,73,487.54,37.8
2,15,4,3.3,29,19,68,0,-10,73,543.97,46.4
2,15,5,3.6,22,18,67,0,-8,73,360.31,44
2,15,6,3.3,10,17,76,0,-8,73,175.09,20
2,15,7,4.2,16,16,74,0.156,-4,73,188.72,44.8
2,15,8,3.3,5,21,70,0.186,-3,73,80.39,15
2,15,9,3.3,11,22,68,0.216,0,73,168.60,39.6
2,15,10,4.3,3,23,60,0.246,1,73,35.20,11.4
2,15,11,4.2,11,22,63,0.276,3,73,122.26,46.2
2,15,12,3.9,22,23,68,0.306,5,73,252.61,101.2
2,15,13,3.3,21,20,69,0.276,6,73,262.95,100.8
2,15,14,3.4,30,20,77,0.246,8,73,352.24,156
2,15,15,3.3,28,21,68,0.216,8,73,352.80,145.6
2,15,16,3.6,12,21,70,0.186,8,73,140.20,62.4
2,15,17,4.2,21,24,65,0.156,5,73,244.80,96.6
2,15,18,4.1,20,20,69,0,2,73,248.00,80
2,15,19,3.7,27,24,71,0,1,73,406.61,102.6
2,15,20,4.3,15,18,66,0,-5,73,195.42,39
2,15,21,3.3,26,19,69,0,-6,73,455.71,62.4
2,15,22,4.1,9,17,62,0,-8,73,127.89,18
2,15,23,4.1,6,16,73,0,-9,73,84.29,10.8
2,15,24,3.8,11,17,79,0,-10,73,173.57,17.6
2,16,1,3.4,1,17,76,0,-12,73,18.17,1.2
2,16,2,4.0,28,19,74,0,-12,73,445.62,33.6
2,16,3,3.4,4,16,71,0,-11,73,70.26,5.6
2,16,4,4.3,28,18,64,0,-10,73,398.12,44.8
2,16,5,3.8,19,18,60,0,-8,73,296.90,38
2,16,6,3.3,13,18,80,0,-8,73,232.50,26
2,16,7,3.3,18,18,73,0.156,-4,73,280.80,50.4
2,16,8,4.2,13,24,62,0.186,-3,73,175.00,39
2,16,9,3.3,19,22,72,0.216,0,73,289.84,68.4
2,16,10,4.0,7,24,71,0.246,1,73,88.90,26.6
2,16,11,4.1,27,20,79,0.276,3,73,292.65,113.4
2,16,12,3.5,26,21,62,0.306,5,73,320.47,119.6
2,16,13,4.3,20,20,71,0.276,6,73,191.63,96
2,16,14,3.4,12,23,66,0.246,8,73,152.12,62.4
2,16,15,3.6,7,23,64,0.216,8,73,85.21,36.4
2,16,16,4.0,17,21,76,0.186,8,73,178.76,88.4
2,16,17,4.2,24,21,74,0.156,5,73,260.23,110.4
2,16,18,3.9,4,21,72,0,2,73,52.98,16
2,16,19,4.3,25,22,60,0,1,73,316.16,95
2,16,20,3.4,30,18,60,0,-5,73,497.47,78
2,16,21,4.2,14,18,63,0,-6,73,190.67,33.6
2,16,22,4.2,20,17,72,0,-8,73,274.57,40
2,16,23,3.7,18,17,75,0,-9,73,285.66,32.4
2,16,24,3.9,26,18,68,0,-10,73,406.00,41.6
2,17,1,3.8,15,19,69,0,-12,73,252.00,18
2,17,2,4.3,13,17,66,0,-12,73,187.50,15.6
2,17,3,4.3,28,16,63,0,-11,73,392.00,39.2
2,17,4,4.1,24,17,76,0,-10,73,349.93,38.4
2,17,5,3.4,16,18,77,0,-8,73,276.89,32
2,17,6,3.6,15,16,68,0,-8,73,237.08,30
2,17,7,3.8,5,16,79,0.156,-4,73,65.58,14
2,17,8,4.1,26,22,64,0.186,-3,73,345.10,78
2,17,9,4.0,10,23,66,0.216,0,73,129.25,36
2,17,10,3.3,5,22,64,0.246,1,73,74.58,19
2,17,11,4.1,1,24,79,0.276,3,73,11.81,4.2
2,17,12,3.9,1,21,70,0.306,5,73,10.94,4.6
2,17,13,3.4,16,23,79,0.276,6,73,209.13,76.8
2,17,14,3.7,8,24,77,0.246,8,73,94.96,41.6
2,17,15,4.2,24,23,66,0.216,8,73,249.71,124.8
2,17,16,4.0,5,23,73,0.186,8,73,54.85,26
2,17,17,3.5,18,21,78,0.156,5,73,235.44,82.8
2,17,18,3.9,27,21,70,0,2,73,358.48,108
2,17,19,3.7,9,24,80,0,1,73,136.26,34.2
2,17,20,3.7,14,18,65,0,-5,73,212.19,36.4
2,17,21,3.8,15,17,68,0,-6,73,220.66,36
2,17,22,4.1,15,18,66,0,-8,73,215.93,30
2,17,23,4.1,4,17,64,0,-9,73,57.70,7.2
2,17,24,4.3,11,16,80,0,-10,73,150.98,17.6
2,18,1,3.3,9,19,71,0,-12,73,173.78,10.8
2,18,2,3.3,11,16,68,0,-12,73,203.00,13.2
2,18,3,3.7,14,16,74,0,-11,73,225.74,19.6
2,18,4,3.4,27,17,71,0,-10,73,474.25,43.2
2,18,5,4.2,3,19,75,0,-8,73,42.66,6
2,18,6,3.9,15,18,80,0,-8,73,227.00,30
2,18,7,4.2,26,18,74,0.156,-4,73,319.06,72.8
2,18,8,3.9,25,22,66,0.186,-3,73,348.08,75
2,18,9,3.9,1,23,63,0.216,0,73,13.30,3.6
2,18,10,3.3,24,21,64,0.246,1,73,350.69,91.2
2,18,11,3.6,14,24,74,0.276,3,73,187.21,58.8
2,18,12,3.4,1,23,67,0.306,5,73,13.19,4.6
2,18,13,3.4,30,22,66,0.276,6,73,383.82,144
2,18,14,3.8,30,23,66,0.246,8,73,340.26,156
2,18,15,3.4,21,22,72,0.216,8,73,261.51,109.2
2,18,16,3.4,8,23,71,0.186,8,73,103.53,41.6
2,18,17,3.8,17,23,62,0.156,5,73,215.36,78.2
2,18,18,3.5,12,20,73,0,2,73,173.49,48
2,18,19,3.8,27,21,63,0,1,73,378.00,102.6
2,18,20,4.3,4,17,67,0,-5,73,51.13,10.4
2,18,21,4.3,30,17,62,0,-6,73,392.51,72
2,18,22,3.7,28,16,77,0,-8,73,430.14,56
2,18,23,3.7,10,16,79,0,-9,73,156.65,18
2,18,24,3.6,21,18,71,0,-10,73,354.20,33.6
2,19,1,3.3,23,19,79,0,-12,73,445.78,27.6
2,19,2,3.3,1,17,62,0,-12,73,18.87,1.2
2,19,3,4.2,16,19,73,0,-11,73,238.48,22.4
2,19,4,3.9,19,18,65,0,-10,73,297.57,30.4
2,19,5,4.1,13,16,68,0,-8,73,180.41,26
2,19,6,3.4,3,18,76,0,-8,73,51.86,6
2,19,7,3.4,7,17,64,0.156,-4,73,105.04,19.6
2,19,8,4.2,11,23,76,0.186,-3,73,144.20,33
2,19,9,3.3,25,23,60,0.216,0,73,394.39,90
2,19,10,4.3,22,22,67,0.246,1,73,250.90,83.6
2,19,11,3.9,27,22,73,0.276,3,73,319.02,113.4
2,19,12,4.2,28,24,76,0.306,5,73,304.40,128.8
2,19,13,3.8,18,24,73,0.276,6,73,213.54,86.4
2,19,14,3.5,14,24,64,0.246,8,73,176.88,72.8
2,19,15,4.0,25,21,70,0.216,8,73,259.13,130
2,19,16,4.1,12,23,76,0.186,8,73,128.96,62.4
2,19,17,4.3,21,24,80,0.156,5,73,238.81,96.6
2,19,18,3.3,2,22,63,0,2,73,32.24,8
2,19,19,3.3,1,23,63,0,1,73,16.73,3.8
2,19,20,3.9,24,16,73,0,-5,73,329.85,62.4
2,19,21,3.8,14,16,67,0,-6,73,202.48,33.6
2,19,22,3.6,20,17,71,0,-8,73,320.67,40
2,19,23,4.3,15,17,68,0,-9,73,205.47,27
2,19,24,4.2,11,17,69,0,-10,73,156.72,17.6
2,20,1,3.7,23,19,61,0,-12,73,399.83,27.6
2,20,2,4.2,28,17,61,0,-12,73,415.47,33.6
2,20,3,4.0,24,19,74,0,-11,73,375.96,33.6
2,20,4,4.0,19,18,60,0,-10,73,291.56,30.4
2,20,5,4.0,1,18,69,0,-8,73,14.71,2
2,20,6,4.1,11,17,78,0,-8,73,155.34,22
2,20,7,4.2,3,19,63,0.156,-4,73,37.91,8.4
2,20,8,4.1,29,23,73,0.186,-3,73,388.18,87
2,20,9,3.7,8,23,71,0.216,0,73,111.14,28.8
2,20,10,4.0,27,22,64,0.246,1,73,332.24,102.6
2,20,11,4.0,28,20,65,0.276,3,73,311.92,117.6
2,20,12,4.2,23,21,71,0.306,5,73,233.29,105.8
2,20,13,3.9,19,20,63,0.276,6,73,203.06,91.2
2,20,14,4.0,21,20,77,0.246,8,73,209.58,109.2
2,20,15,4.2,8,21,78,0.216,8,73,79.20,41.6
2,20,16,3.5,19,23,68,0.186,8,73,239.83,98.8
2,20,17,3.4,28,22,62,0.156,5,73,388.21,128.8
2,20,18,3.7,1,21,69,0,2,73,14.01,4
2,20,19,3.5,15,22,66,0,1,73,231.51,57
2,20,20,3.6,21,18,66,0,-5,73,326.78,54.6
2,20,21,3.3,14,19,61,0,-6,73,247.42,33.6
2,20,22,4.1,11,18,60,0,-8,73,159.31,22
2,20,23,3.3,7,17,61,0,-9,73,125.83,12.6
2,20,24,3.3,17,18,63,0,-10,73,315.27,27.2
2,21,1,4.2,24,18,62,0,-12,73,388.86,28.8
2,21,2,4.0,14,19,80,0,-12,73,240.98,16.8
2,21,3,4.0,28,18,64,0,-11,73,468.65,39.2
2,21,4,3.3,2,17,63,0,-10,73,39.39,3.2
2,21,5,4.2,10,16,68,0,-8,73,147.02,20
2,21,6,3.4,6,16,62,0,-8,73,109.50,12
2,21,7,4.1,12,19,76,0.156,-4,73,166.10,33.6
2,21,8,3.6,24,20,71,0.186,-3,73,373.00,72
2,21,9,4.3,6,20,66,0.216,0,73,73.19,21.6
2,21,10,3.9,22,24,68,0.246,1,73,308.00,83.6
2,21,11,3.9,15,24,65,0.276,3,73,200.00,63
2,21,12,4.1,19,22,79,0.306,5,73,218.50,87.4
2,21,13,4.0,13,22,79,0.276,6,73,152.43,62.4
2,21,14,3.6,24,20,65,0.246,8,73,291.67,124.8
2,21,15,4.0,15,23,63,0.216,8,73,178.50,78
2,21,16,4.0,15,20,76,0.186,8,73,168.75,78
2,21,17,3.3,19,21,63,0.156,5,73,288.45,87.4
2,21,18,3.4,15,20,79,0,2,73,246.18,60
2,21,19,3.7,28,20,78,0,1,73,429.46,106.4
2,21,20,3.4,4,17,62,0,-5,73,70.65,10.4
2,21,21,3.5,30,18,60,0,-6,73,532.71,72
2,21,22,4.1,20,19,78,0,-8,73,315.85,40
2,21,23,3.5,18,19,63,0,-9,73,339.43,32.4
2,21,24,3.7,23,16,60,0,-10,73,398.77,36.8
2,22,1,4.2,5,16,75,0,-12,73,78.10,6
2,22,2,3.5,4,16,78,0,-12,73,75.14,4.8
2,22,3,3.8,29,17,68,0,-11,73,501.78,40.6
2,22,4,3.5,22,18,69,0,-10,73,412.97,35.2
2,22,5,3.7,3,17,73,0,-8,73,50.68,6
2,22,6,3.9,12,19,62,0,-8,73,200.15,24
2,22,7,3.9,24,19,78,0.156,-4,73,349.85,67.2
2,22,8,3.5,8,23,80,0.186,-3,73,135.31,24
2,22,9,3.4,4,22,79,0.216,0,73,64.00,14.4
2,22,10,3.9,30,24,60,0.246,1,73,423.08,114
2,22,11,4.3,24,22,70,0.276,3,73,277.67,100.8
2,22,12,4.3,14,22,63,0.306,5,73,154.16,64.4
2,22,13,4.3,28,20,74,0.276,6,73,290.74,134.4
2,22,14,3.8,5,21,71,0.246,8,73,58.49,26
2,22,15,3.3,23,23,69,0.216,8,73,329.67,119.6
2,22,16,3.6,15,24,74,0.186,8,73,203.75,78
2,22,17,3.9,15,21,75,0.156,5,73,191.15,69
2,22,18,3.4,10,20,76,0,2,73,163.68,40
2,22,19,3.4,2,21,80,0,1,73,34.03,7.6
2,22,20,3.8,27,17,61,0,-5,73,427.03,70.2
2,22,21,4.3,27,18,79,0,-6,73,388.05,64.8
2,22,22,3.3,10,19,68,0,-8,73,196.21,20
2,22,23,3.5,3,16,78,0,-9,73,53.79,5.4
2,22,24,4.0,4,18,74,0,-10,73,65.55,6.4
2,23,1,3.7,10,17,65,0,-12,73,180.81,12
2,23,2,4.3,27,16,75,0,-12,73,411.91,32.4
2,23,3,3.7,4,17,69,0,-11,73,71.03,5.6
2,23,4,4.1,24,19,64,0,-10,73,391.90,38.4
2,23,5,3.7,7,18,71,0,-8,73,120.32,14
2,23,6,4.0,15,16,77,0,-8,73,231.38,30
2,23,7,3.6,18,19,74,0.156,-4,73,283.25,50.4
2,23,8,3.7,14,22,79,0.186,-3,73,220.03,42
2,23,9,3.7,26,23,66,0.216,0,73,389.65,93.6
2,23,10,3.6,21,22,79,0.246,1,73,307.13,79.8
2,23,11,3.5,18,22,72,0.276,3,73,255.34,75.6
2,23,12,4.1,17,24,60,0.306,5,73,205.24,78.2
2,23,13,3.6,23,20,79,0.276,6,73,286.86,110.4
2,23,14,3.4,1,24,75,0.246,8,73,13.96,5.2
2,23,15,3.3,25,24,78,0.216,8,73,366.29,130
2,23,16,4.3,26,23,62,0.186,8,73,292.65,135.2
2,23,17,4.1,15,23,77,0.156,5,73,189.51,69
2,23,18,4.3,7,23,76,0,2,73,95.48,28
2,23,19,3.7,14,24,64,0,1,73,230.62,53.2
2,23,20,4.0,17,17,77,0,-5,73,253.73,44.2
2,23,21,4.2,11,16,78,0,-6,73,156.49,26.4
2,23,22,4.1,5,17,70,0,-8,73,76.40,10
2,23,23,3.3,23,18,67,0,-9,73,451.64,41.4
2,23,24,3.7,10,16,71,0,-10,73,171.89,16
2,24,1,3.8,26,16,67,0,-12,73,450.21,31.2
2,24,2,4.0,11,16,76,0,-12,73,180.54,13.2
2,24,3,3.8,29,19,72,0,-11,73,515.51,40.6
2,24,4,4.2,10,17,60,0,-10,73,155.12,16
2,24,5,3.7,22,19,65,0,-8,73,385.89,44
2,24,6,3.7,7,17,77,0,-8,73,118.62,14
2,24,7,3.9,18,16,80,0.156,-4,73,249.00,50.4
2,24,8,3.4,24,22,78,0.186,-3,73,410.12,72
2,24,9,3.7,13,24,80,0.216,0,73,198.34,46.8
2,24,10,3.5,25,21,66,0.246,1,73,369.29,95
2,24,11,3.7,4,24,64,0.276,3,73,56.27,16.8
2,24,12,4.3,17,21,65,0.306,5,73,182.85,78.2
2,24,13,3.9,18,24,70,0.276,6,73,225.00,86.4
2,24,14,3.3,5,24,71,0.246,8,73,71.89,26
2,24,15,4.0,2,24,79,0.216,8,73,24.20,10.4
2,24,16,3.8,30,23,69,0.186,8,73,379.34,156
2,24,17,4.3,14,20,79,0.156,5,73,159.21,64.4
2,24,18,3.7,14,23,73,0,2,73,221.35,56
2,24,19,4.2,1,21,61,0,1,73,13.83,3.8
2,24,20,3.3,19,17,65,0,-5,73,344.88,49.4
2,24,21,3.7,28,19,61,0,-6,73,477.51,67.2
2,24,22,3.7,26,18,74,0,-8,73,446.57,52
2,24,23,4.3,19,19,63,0,-9,73,291.63,34.2
2,24,24,4.3,17,18,78,0,-10,73,259.94,27.2
2,25,1,4.0,9,18,74,0,-12,73,151.99,10.8
2,25,2,3.6,20,16,69,0,-12,73,365.00,24
2,25,3,3.8,29,17,73,0,-11,73,499.87,40.6
2,25,4,3.9,27,17,73,0,-10,73,446.54,43.2
2,25,5,3.7,20,17,63,0,-8,73,340.54,40
2,25,6,4.0,8,18,75,0,-8,73,127.20,16
2,25,7,4.3,3,17,65,0.156,-4,73,38.37,8.4
2,25,8,3.4,4,24,67,0.186,-3,73,70.76,12
2,25,9,3.5,6,22,61,0.216,0,73,93.77,21.6
2,25,10,3.7,20,21,60,0.246,1,73,281.08,76
2,25,11,4.2,27,21,67,0.276,3,73,314.36,113.4
2,25,12,3.5,1,21,74,0.306,5,73,13.11,4.6
2,25,13,3.7,30,20,75,0.276,6,73,362.43,144
2,25,14,3.6,11,24,75,0.246,8,73,144.99,57.2
2,25,15,4.2,25,20,68,0.216,8,73,263.99,130
2,25,16,4.0,14,20,60,0.186,8,73,159.25,72.8
2,25,17,3.7,28,20,80,0.156,5,73,370.43,128.8
2,25,18,4.3,13,23,66,0,2,73,177.92,52
2,25,19,4.3,8,23,77,0,1,73,111.07,30.4
2,25,20,3.9,28,17,69,0,-5,73,428.62,72.8
2,25,21,3.3,27,16,70,0,-6,73,488.05,64.8
2,25,22,4.2,17,16,60,0,-8,73,251.56,34
2,25,23,3.4,30,17,69,0,-9,73,562.06,54
2,25,24,3.4,22,17,67,0,-10,73,419.29,35.2
2,26,1,3.3,11,17,79,0,-12,73,222.67,13.2
2,26,2,3.7,26,16,74,0,-12,73,460.62,31.2
2,26,3,3.9,30,18,69,0,-11,73,513.08,42
2,26,4,4.0,30,18,76,0,-10,73,492.38,48
2,26,5,4.2,17,17,78,0,-8,73,253.99,34
2,26,6,4.1,1,19,77,0,-8,73,15.78,2
2,26,7,3.5,20,16,67,0.156,-4,73,308.00,56
2,26,8,4.1,29,22,78,0.186,-3,73,410.95,87
2,26,9,3.9,20,22,74,0.216,0,73,277.69,72
2,26,10,4.2,4,20,69,0.246,1,73,48.14,15.2
2,26,11,3.5,6,21,72,0.276,3,73,83.40,25.2
2,26,12,4.1,28,21,79,0.306,5,73,315.17,128.8
2,26,13,4.3,13,20,62,0.276,6,73,136.50,62.4
2,26,14,3.8,3,20,66,0.246,8,73,34.50,15.6
2,26,15,3.9,24,22,75,0.216,8,73,284.31,124.8
2,26,16,3.3,30,22,77,0.186,8,73,427.73,156
2,26,17,3.8,28,22,74,0.156,5,73,373.21,128.8
2,26,18,4.2,13,20,70,0,2,73,172.25,52
2,26,19,3.8,20,20,72,0,1,73,297.63,76
2,26,20,3.6,10,19,74,0,-5,73,170.97,26
2,26,21,3.5,19,19,67,0,-6,73,340.91,45.6
2,26,22,3.6,5,18,67,0,-8,73,88.61,10
2,26,23,3.7,13,17,74,0,-9,73,223.28,23.4
2,26,24,3.6,23,18,71,0,-10,73,419.11,36.8
2,27,1,3.7,26,16,75,0,-12,73,460.97,31.2
2,27,2,4.0,17,18,75,0,-12,73,287.30,20.4
2,27,3,4.0,12,19,67,0,-11,73,203.40,16.8
2,27,4,4.3,17,18,75,0,-10,73,259.35,27.2
2,27,5,3.7,20,16,74,0,-8,73,332.70,40
2,27,6,4.3,15,18,76,0,-8,73,222.03,30
2,27,7,3.7,3,17,77,0.156,-4,73,44.43,8.4
2,27,8,4.0,7,20,72,0.186,-3,73,97.83,21
2,27,9,4.2,21,21,66,0.216,0,73,267.25,75.6
2,27,10,3.6,17,23,79,0.246,1,73,253.35,64.6
2,27,11,4.1,28,24,80,0.276,3,73,354.78,117.6
2,27,12,3.8,22,20,74,0.306,5,73,259.95,101.2
2,27,13,3.6,18,22,62,0.276,6,73,235.75,86.4
2,27,14,4.3,15,20,61,0.246,8,73,153.31,78
2,27,15,4.1,3,22,76,0.216,8,73,33.84,15.6
2,27,16,4.2,7,24,77,0.186,8,73,81.75,36.4
2,27,17,4.3,23,20,66,0.156,5,73,261.83,105.8
2,27,18,3.5,16,21,68,0,2,73,259.43,64
2,27,19,4.1,30,24,76,0,1,73,443.78,114
2,27,20,4.1,22,19,65,0,-5,73,332.15,57.2
2,27,21,3.3,16,19,60,0,-6,73,306.18,38.4
2,27,22,3.4,18,19,72,0,-8,73,341.74,36
2,27,23,3.5,8,17,61,0,-9,73,146.51,14.4
2,27,24,3.4,12,17,65,0,-10,73,229.06,19.2
2,28,1,3.4,2,17,62,0,-12,73,39.44,2.4
2,28,2,4.0,6,19,70,0,-12,73,102.98,7.2
2,28,3,3.5,3,19,68,0,-11,73,58.07,4.2
2,28,4,3.8,9,19,72,0,-10,73,157.62,14.4
2,28,5,3.8,11,18,73,0,-8,73,183.82,22
2,28,6,4.3,21,18,78,0,-8,73,311.34,42
2,28,7,3.8,8,16,66,0.156,-4,73,113.58,22.4
2,28,8,3.3,3,20,74,0.186,-3,73,50.82,9
2,28,9,4.1,5,22,62,0.216,0,73,66.65,18
2,28,10,3.3,28,21,76,0.246,1,73,436.97,106.4
2,28,11,3.9,29,21,62,0.276,3,73,365.47,121.8
2,28,12,4.3,24,23,65,0.306,5,73,269.30,110.4
2,28,13,4.3,18,21,63,0.276,6,73,192.98,86.4
2,28,14,3.8,20,20,61,0.246,8,73,231.32,104
2,28,15,3.4,6,21,62,0.216,8,73,80.56,31.2
2,28,16,4.1,1,22,61,0.186,8,73,11.57,5.2
2,28,17,3.6,29,20,69,0.156,5,73,393.11,133.4
2,28,18,3.9,8,24,70,0,2,73,122.36,32
2,28,19,4.3,5,24,72,0,1,73,70.41,19
2,28,20,4.1,20,18,60,0,-5,73,298.29,52
2,28,21,3.4,13,17,71,0,-6,73,231.71,31.2
2,28,22,3.5,16,17,72,0,-8,73,285.94,32
2,28,23,3.8,3,16,61,0,-9,73,49.82,5.4
2,28,24,3.4,14,17,60,0,-10,73,268.26,22.4
3,1,1,4.2,9,16,67,0,-8,62,123.64,13.5
3,1,2,3.9,16,17,75,0,-8,62,243.61,24
3,1,3,3.6,23,19,64,0,-7,62,382.82,37.95
3,1,4,3.7,19,18,65,0,-6,62,295.68,34.2
3,1,5,4.1,16,17,73,0,-4,62,212.53,33.6
3,1,6,4.2,8,18,70,0,-2,62,101.10,19.2
3,1,7,4.0,25,17,68,0.162,-2,62,303.25,60
3,1,8,4.0,4,24,79,0.192,-2,62,56.98,9.6
3,1,9,3.8,29,23,70,0.222,0,62,398.67,78.3
3,1,10,4.0,21,20,71,0.252,2,62,239.93,63
3,1,11,3.8,22,23,60,0.282,4,62,265.62,72.6
3,1,12,3.6,25,20,61,0.312,5,62,280.69,86.25
3,1,13,3.4,24,22,61,0.282,6,62,298.02,86.4
3,1,14,3.6,2,21,64,0.252,7,62,22.49,7.5
3,1,15,3.7,12,23,61,0.222,8,62,136.93,46.8
3,1,16,3.4,17,24,79,0.192,8,62,224.90,66.3
3,1,17,3.4,17,24,76,0.162,6,62,239.00,61.2
3,1,18,4.3,18,22,69,0,4,62,211.90,59.4
3,1,19,3.6,4,24,60,0,3,62,59.91,12.6
3,1,20,3.9,23,19,71,0,0,62,306.31,62.1
3,1,21,3.9,9,19,68,0,-2,62,124.98,21.6
3,1,22,3.6,7,16,65,0,-4,62,102.63,14.7
3,1,23,3.3,6,16,69,0,-5,62,98.58,11.7
3,1,24,3.3,17,19,69,0,-7,62,310.22,28.05
3,2,1,3.8,17,17,65,0,-8,62,262.96,25.5
3,2,2,4.2,17,16,62,0,-8,62,232.33,25.5
3,2,3,3.6,26,19,67,0,-7,62,434.06,42.9
3,2,4,3.4,2,19,63,0,-6,62,34.51,3.6
3,2,5,3.8,13,19,77,0,-4,62,195.34,27.3
3,2,6,3.4,10,17,63,0,-2,62,151.35,24
3,2,7,4.0,2,16,69,0.162,-2,62,23.69,4.8
3,2,8,4.1,27,21,61,0.192,-2,62,345.20,64.8
3,2,9,3.5,9,20,61,0.222,0,62,123.99,24.3
3,2,10,4.0,23,20,71,0.252,2,62,262.78,69
3,2,11,3.6,28,21,75,0.282,4,62,343.31,92.4
3,2,12,4.0,11,21,77,0.312,5,62,116.77,37.95
3,2,13,4.0,24,23,75,0.282,6,62,264.84,86.4
3,2,14,3.5,27,24,73,0.252,7,62,344.21,101.25
3,2,15,4.3,3,20,76,0.222,8,62,27.49,11.7
3,2,16,4.2,30,20,73,0.192,8,62,284.43,117
3,2,17,3.7,25,20,69,0.162,6,62,287.70,90
3,2,18,4.3,10,21,66,0,4,62,114.51,33
3,2,19,4.3,3,22,79,0,3,62,36.57,9.45
3,2,20,3.4,10,19,64,0,0,62,151.53,27
3,2,21,4.1,3,19,75,0,-2,62,39.94,7.2
3,2,22,3.5,22,16,68,0,-4,62,332.89,46.2
3,2,23,3.4,20,16,66,0,-5,62,317.88,39
3,2,24,3.3,26,16,69,0,-7,62,446.10,42.9
3,3,1,3.4,28,16,73,0,-8,62,478.14,42
3,3,2,4.2,16,16,65,0,-8,62,219.35,24
3,3,3,3.3,4,19,68,0,-7,62,72.92,6.6
3,3,4,3.9,28,19,64,0,-6,62,421.58,50.4
3,3,5,4.3,10,18,61,0,-4,62,128.05,21
3,3,6,3.8,2,19,79,0,-2,62,28.85,4.8
3,3,7,3.3,1,16,66,0.162,-2,62,14.30,2.4
3,3,8,3.9,6,21,72,0.192,-2,62,81.48,14.4
3,3,9,4.1,6,23,78,0.222,0,62,77.15,16.2
3,3,10,4.0,27,23,77,0.252,2,62,335.21,81
3,3,11,4.2,13,24,75,0.282,4,62,147.77,42.9
3,3,12,3.5,22,23,65,0.312,5,62,277.45,75.9
3,3,13,3.9,2,22,72,0.282,6,62,21.93,7.2
3,3,14,4.2,9,23,80,0.252,7,62,93.94,33.75
3,3,15,4.1,27,22,75,0.222,8,62,274.87,105.3
3,3,16,3.8,12,24,68,0.192,8,62,139.96,46.8
3,3,17,3.9,6,23,68,0.162,6,62,70.95,21.6
3,3,18,3.5,1,20,77,0,4,62,13.91,3.3
3,3,19,4.2,17,23,61,0,3,62,213.15,53.55
3,3,20,3.8,15,17,71,0,0,62,195.55,40.5
3,3,21,3.3,21,19,68,0,-2,62,344.65,50.4
3,3,22,4.2,12,19,64,0,-4,62,160.91,25.2
3,3,23,4.0,27,18,63,0,-5,62,379.76,52.65
3,3,24,3.7,12,19,67,0,-7,62,194.92,19.8
3,4,1,4.3,16,16,69,0,-8,62,215.14,24
3,4,2,4.2,3,18,64,0,-8,62,42.80,4.5
3,4,3,3.8,15,16,65,0,-7,62,222.55,24.75
3,4,4,3.4,30,17,77,0,-6,62,503.82,54
3,4,5,3.8,12,17,66,0,-4,62,170.65,25.2
3,4,6,3.3,16,16,73,0,-2,62,246.59,38.4
3,4,7,3.8,15,18,75,0.162,-2,62,197.92,36
3,4,8,4.1,22,21,67,0.192,-2,62,282.57,52.8
3,4,9,3.9,18,24,70,0.222,0,62,246.65,48.6
3,4,10,4.3,18,20,74,0.252,2,62,192.06,54
3,4,11,3.8,22,24,73,0.282,4,62,275.69,72.6
3,4,12,3.8,5,23,75,0.312,5,62,58.87,17.25
3,4,13,4.2,4,23,63,0.282,6,62,41.35,14.4
3,4,14,3.3,22,24,79,0.252,7,62,299.87,82.5
3,4,15,3.7,7,20,79,0.222,8,62,74.88,27.3
3,4,16,3.9,13,20,60,0.192,8,62,130.93,50.7
3,4,17,3.3,12,23,78,0.162,6,62,169.89,43.2
3,4,18,3.7,30,22,72,0,4,62,411.89,99
3,4,19,3.5,5,22,79,0,3,62,74.89,15.75
3,4,20,3.4,28,16,64,0,0,62,394.64,75.6
3,4,21,4.3,1,19,69,0,-2,62,12.61,2.4
3,4,22,4.0,21,18,73,0,-4,62,292.22,44.1
3,4,23,4.3,20,17,78,0,-5,62,260.28,39
3,4,24,3.4,6,17,73,0,-7,62,102.46,9.9
3,5,1,3.3,24,17,74,0,-8,62,431.42,36
3,5,2,3.3,12,17,74,0,-8,62,215.71,18
3,5,3,3.5,2,17,64,0,-7,62,32.87,3.3
3,5,4,4.0,6,19,66,0,-6,62,88.26,10.8
3,5,5,3.6,29,17,63,0,-4,62,433.87,60.9
3,5,6,3.7,8,16,72,0,-2,62,109.84,19.2
3,5,7,3.6,1,18,63,0.162,-2,62,13.73,2.4
3,5,8,3.6,14,21,65,0.192,-2,62,204.32,33.6
3,5,9,4.2,13,24,66,0.222,0,62,164.67,35.1
3,5,10,3.5,10,20,75,0.252,2,62,131.26,30
3,5,11,3.9,23,23,75,0.282,4,62,274.47,75.9
3,5,12,3.6,1,22,60,0.312,5,62,11.91,3.45
3,5,13,3.5,16,24,69,0.282,6,62,205.62,57.6
3,5,14,3.8,22,22,67,0.252,7,62,242.35,82.5
3,5,15,3.6,3,21,76,0.222,8,62,33.83,11.7
