Building Name,Building Volume [m^3],Building Type,month,date,hour,Weighted temp. setpoint [C],Solar irradiation normal [w/m2],Solar irradiation horizontal [w/m2],Outside temp. [C],Location,Relative Humidity,Heating Load [kwh],Cooling load [kwh]
B,713,Steel,4,16,14,21,0.264,0.044,14,Y,72,119.47,9.982
C,679,Concrete,4,16,15,23,0.234,0.039,13,Z,69,125.62,13.58
D,925,Wood,4,16,16,21,0.204,0.034,12,W,76,170.63,16.65
A,635,Glass,4,16,17,21,0.174,0.029,10,X,75,125.29,13.97
B,695,Steel,4,16,18,23,0,0,8,Y,74,163.19,20.85
C,912,Concrete,4,16,19,22,0,0,6,Z,74,218.7,29.184
D,604,Wood,4,16,20,17,0,0,3,W,68,138.07,16.912
A,500,Glass,4,16,21,19,0,0,0,X,61,126.1,19
B,827,Steel,4,16,22,19,0,0,-2,Y,63,217.17,34.734
C,608,Concrete,4,16,23,17,0,0,-3,Z,70,157.47,24.32
D,756,Wood,4,16,24,16,0,0,-5,W,72,199.89,31.752
A,747,Glass,4,17,1,18,0,0,-6,X,70,208.41,35.856
B,868,Steel,4,17,2,16,0,0,-4,Y,74,225.51,34.72
C,509,Concrete,4,17,3,16,0,0,-2,Z,72,126.94,18.324
D,757,Wood,4,17,4,18,0,0,-2,W,69,195.91,30.28
A,758,Glass,4,17,5,18,0,0,0,X,72,189.05,27.288
B,957,Steel,4,17,6,19,0,0,1,Y,61,236.57,34.452
C,795,Concrete,4,17,7,17,0.174,0.029,2,Z,75,172.76,23.85
D,926,Wood,4,17,8,21,0.204,0.034,4,W,66,206,31.484
A,735,Glass,4,17,9,22,0.234,0.039,6,X,79,159.5,23.52
B,682,Steel,4,17,10,20,0.264,0.044,8,Y,75,131.74,16.368
C,559,Concrete,4,17,11,22,0.294,0.049,10,Z,66,105.27,13.416
D,955,Wood,4,17,12,23,0.324,0.054,13,W,78,169.67,19.1
A,947,Glass,4,17,13,23,0.294,0.049,14,X,71,165.07,17.046
B,874,Steel,4,17,14,20,0.264,0.044,14,Y,68,141.38,10.488
C,739,Concrete,4,17,15,22,0.234,0.039,13,Z,74,133.77,13.302
D,854,Wood,4,17,16,20,0.204,0.034,12,W,66,151.55,13.664
A,557,Glass,4,17,17,22,0.174,0.029,10,X,78,113.02,13.368
B,891,Steel,4,17,18,24,0,0,8,Y,73,213.48,28.512
C,835,Concrete,4,17,19,22,0,0,6,Z,60,197.9,26.72
D,608,Wood,4,17,20,19,0,0,3,W,79,146.41,19.456
A,935,Glass,4,17,21,19,0,0,0,X,66,236.74,35.53
B,939,Steel,4,17,22,17,0,0,-2,Y,63,237.19,35.682
C,738,Concrete,4,17,23,17,0,0,-3,Z,69,190.99,29.52
D,828,Wood,4,17,24,18,0,0,-5,W,69,226.71,38.088
A,547,Glass,4,18,1,17,0,0,-6,X,69,149.77,25.162
B,502,Steel,4,18,2,16,0,0,-4,Y,69,129.92,20.08
C,674,Concrete,4,18,3,19,0,0,-2,Z,63,176.99,28.308
D,558,Wood,4,18,4,18,0,0,-2,W,76,145.19,22.32
A,996,Glass,4,18,5,18,0,0,0,X,62,246.41,35.856
B,558,Steel,4,18,6,17,0,0,1,Y,64,132.69,17.856
C,761,Concrete,4,18,7,17,0.174,0.029,2,Z,72,164.92,22.83
D,653,Wood,4,18,8,21,0.204,0.034,4,W,67,145.4,22.202
A,935,Glass,4,18,9,24,0.234,0.039,6,X,63,209.26,33.66
B,885,Steel,4,18,10,22,0.264,0.044,8,Y,77,180.15,24.78
C,846,Concrete,4,18,11,20,0.294,0.049,10,Z,70,151.53,16.92
D,759,Wood,4,18,12,23,0.324,0.054,13,W,65,132.87,15.18
A,654,Glass,4,18,13,24,0.294,0.049,14,X,77,118.05,13.08
B,931,Steel,4,18,14,20,0.264,0.044,14,Y,77,152.27,11.172
C,788,Concrete,4,18,15,23,0.234,0.039,13,Z,75,146.73,15.76
D,597,Wood,4,18,16,20,0.204,0.034,12,W,66,105.94,9.552
A,987,Glass,4,18,17,24,0.174,0.029,10,X,73,209.16,27.636
B,819,Steel,4,18,18,20,0,0,8,Y,71,179.52,19.656
C,844,Concrete,4,18,19,22,0,0,6,Z,78,203.07,27.008
D,706,Wood,4,18,20,17,0,0,3,W,61,160.4,19.768
A,619,Glass,4,18,21,17,0,0,0,X,60,149.8,21.046
B,813,Steel,4,18,22,17,0,0,-2,Y,68,206.18,30.894
C,525,Concrete,4,18,23,17,0,0,-3,Z,69,135.87,21
D,772,Wood,4,18,24,16,0,0,-5,W,72,204.12,32.424
A,645,Glass,4,19,1,17,0,0,-6,X,75,177.38,29.67
B,999,Steel,4,19,2,17,0,0,-4,Y,69,263.54,41.958
C,507,Concrete,4,19,3,19,0,0,-2,Z,63,133.14,21.294
D,756,Wood,4,19,4,19,0,0,-2,W,61,198.22,31.752
A,914,Glass,4,19,5,16,0,0,0,X,65,217.53,29.248
B,967,Steel,4,19,6,19,0,0,1,Y,64,239.62,34.812
C,933,Concrete,4,19,7,17,0.174,0.029,2,Z,75,202.75,27.99
D,695,Wood,4,19,8,23,0.204,0.034,4,W,65,161.42,26.41
A,664,Glass,4,19,9,23,0.234,0.039,6,X,65,145.56,22.576
B,523,Steel,4,19,10,22,0.264,0.044,8,Y,68,105.52,14.644
C,767,Concrete,4,19,11,22,0.294,0.049,10,Z,63,143.97,18.408
D,984,Wood,4,19,12,22,0.324,0.054,13,W,68,167.93,17.712
A,855,Glass,4,19,13,20,0.294,0.049,14,X,60,134.33,10.26
B,656,Steel,4,19,14,22,0.264,0.044,14,Y,62,111.89,10.496
C,999,Concrete,4,19,15,20,0.234,0.039,13,Z,76,171.24,13.986
D,792,Wood,4,19,16,22,0.204,0.034,12,W,78,150.37,15.84
A,814,Glass,4,19,17,20,0.174,0.029,10,X,66,155.08,16.28
B,651,Steel,4,19,18,24,0,0,8,Y,76,156.37,20.832
C,631,Concrete,4,19,19,22,0,0,6,Z,71,150.94,20.192
D,537,Wood,4,19,20,16,0,0,3,W,75,120.83,13.962
A,632,Glass,4,19,21,18,0,0,0,X,69,157.24,22.752
B,522,Steel,4,19,22,18,0,0,-2,Y,68,134.99,20.88
C,753,Concrete,4,19,23,16,0,0,-3,Z,80,192.77,28.614
D,902,Wood,4,19,24,17,0,0,-5,W,63,241.38,39.688
A,720,Glass,4,20,1,19,0,0,-6,X,77,205.49,36
B,513,Steel,4,20,2,16,0,0,-4,Y,75,133.38,20.52
C,967,Concrete,4,20,3,17,0,0,-2,Z,63,244.26,36.746
D,640,Wood,4,20,4,16,0,0,-2,W,74,159.87,23.04
A,941,Glass,4,20,5,16,0,0,0,X,69,224.71,30.112
B,736,Steel,4,20,6,19,0,0,1,Y,60,181.79,26.496
C,829,Concrete,4,20,7,17,0.174,0.029,2,Z,74,179.98,24.87
D,933,Wood,4,20,8,20,0.204,0.034,4,W,61,201.96,29.856
A,822,Glass,4,20,9,22,0.234,0.039,6,X,66,176.25,26.304
B,811,Steel,4,20,10,21,0.264,0.044,8,Y,61,158.44,21.086
C,936,Concrete,4,20,11,23,0.294,0.049,10,Z,73,182.25,24.336
D,969,Wood,4,20,12,23,0.324,0.054,13,W,75,171.57,19.38
A,910,Glass,4,20,13,22,0.294,0.049,14,X,65,152.98,14.56
B,737,Steel,4,20,14,23,0.264,0.044,14,Y,64,129.68,13.266
C,760,Concrete,4,20,15,22,0.234,0.039,13,Z,75,137.72,13.68
D,575,Wood,4,20,16,21,0.204,0.034,12,W,80,106.52,10.35
A,771,Glass,4,20,17,20,0.174,0.029,10,X,77,148.58,15.42
B,896,Steel,4,20,18,20,0,0,8,Y,70,196.22,21.504
C,869,Concrete,4,20,19,22,0,0,6,Z,64,206.65,27.808
D,958,Wood,4,20,20,16,0,0,3,W,74,215.36,24.908
A,655,Glass,4,20,21,18,0,0,0,X,71,163.23,23.58
B,999,Steel,4,20,22,19,0,0,-2,Y,72,264.14,41.958
C,548,Concrete,4,20,23,17,0,0,-3,Z,68,141.71,21.92
D,755,Wood,4,20,24,17,0,0,-5,W,71,203.25,33.22
A,738,Glass,4,21,1,19,0,0,-6,X,70,209.59,36.9
B,597,Steel,4,21,2,18,0,0,-4,Y,62,159.64,26.268
C,574,Concrete,4,21,3,19,0,0,-2,Z,69,151.42,24.108
D,543,Wood,4,21,4,16,0,0,-2,W,78,136.08,19.548
A,551,Glass,4,21,5,16,0,0,0,X,70,131.69,17.632
B,529,Steel,4,21,6,17,0,0,1,Y,77,127.17,16.928
C,868,Concrete,4,21,7,16,0.174,0.029,2,Z,62,182.03,24.304
D,671,Wood,4,21,8,24,0.204,0.034,4,W,76,160.68,26.84
A,540,Glass,4,21,9,23,0.234,0.039,6,X,65,118.37,18.36
B,615,Steel,4,21,10,20,0.264,0.044,8,Y,73,118.55,14.76
C,583,Concrete,4,21,11,20,0.294,0.049,10,Z,71,104.54,11.66
D,854,Wood,4,21,12,23,0.324,0.054,13,W,61,148.82,17.08
A,764,Glass,4,21,13,20,0.294,0.049,14,X,66,120.95,9.168
B,973,Steel,4,21,14,24,0.264,0.044,14,Y,67,176.66,19.46
C,918,Concrete,4,21,15,23,0.234,0.039,13,Z,78,171.49,18.36
D,583,Wood,4,21,16,21,0.204,0.034,12,W,62,105.91,10.494
A,769,Glass,4,21,17,21,0.174,0.029,10,X,64,150.04,16.918
B,808,Steel,4,21,18,24,0,0,8,Y,60,191.5,25.856
C,970,Concrete,4,21,19,24,0,0,6,Z,78,243.08,34.92
D,559,Wood,4,21,20,19,0,0,3,W,67,133.27,17.888
A,835,Glass,4,21,21,19,0,0,0,X,61,210.59,31.73
B,806,Steel,4,21,22,17,0,0,-2,Y,69,204.56,30.628
C,635,Concrete,4,21,23,17,0,0,-3,Z,68,164.21,25.4
D,987,Wood,4,21,24,17,0,0,-5,W,67,264.91,43.428
A,550,Glass,4,22,1,18,0,0,-6,X,75,154,26.4
B,675,Steel,4,22,2,18,0,0,-4,Y,73,181.98,29.7
C,653,Concrete,4,22,3,17,0,0,-2,Z,66,165.34,24.814
D,617,Wood,4,22,4,17,0,0,-2,W,76,157.46,23.446
A,845,Glass,4,22,5,19,0,0,0,X,78,215.98,32.11
B,750,Steel,4,22,6,17,0,0,1,Y,77,180.3,24
C,904,Concrete,4,22,7,16,0.174,0.029,2,Z,66,190.3,25.312
D,903,Wood,4,22,8,22,0.204,0.034,4,W,61,204.49,32.508
A,977,Glass,4,22,9,22,0.234,0.039,6,X,61,208.5,31.264
B,626,Steel,4,22,10,23,0.264,0.044,8,Y,60,128.43,18.78
C,613,Concrete,4,22,11,20,0.294,0.049,10,Z,61,108.69,12.26
D,679,Wood,4,22,12,22,0.324,0.054,13,W,78,117.24,12.222
A,657,Glass,4,22,13,20,0.294,0.049,14,X,76,105.32,7.884
B,634,Steel,4,22,14,23,0.264,0.044,14,Y,66,111.81,11.412
C,959,Concrete,4,22,15,23,0.234,0.039,13,Z,75,178.58,19.18
D,704,Wood,4,22,16,21,0.204,0.034,12,W,62,127.89,12.672
A,699,Glass,4,22,17,20,0.174,0.029,10,X,75,134.42,13.98
B,958,Steel,4,22,18,20,0,0,8,Y,73,210.38,22.992
C,844,Concrete,4,22,19,22,0,0,6,Z,61,200.2,27.008
D,730,Wood,4,22,20,16,0,0,3,W,63,162.5,18.98
A,734,Glass,4,22,21,19,0,0,0,X,73,186.88,27.892
B,918,Steel,4,22,22,16,0,0,-2,Y,62,227.11,33.048
C,967,Concrete,4,22,23,18,0,0,-3,Z,60,253.35,40.614
D,812,Wood,4,22,24,19,0,0,-5,W,78,227.85,38.976
A,820,Glass,4,23,1,17,0,0,-6,X,61,223.2,37.72
B,864,Steel,4,23,2,18,0,0,-4,Y,60,230.69,38.016
C,666,Concrete,4,23,3,17,0,0,-2,Z,77,170.1,25.308
D,905,Wood,4,23,4,16,0,0,-2,W,62,223.9,32.58
A,763,Glass,4,23,5,17,0,0,0,X,67,185.71,25.942
B,662,Steel,4,23,6,16,0,0,1,Y,80,156.23,19.86
C,574,Concrete,4,23,7,17,0.174,0.029,2,Z,61,123.13,17.22
D,549,Wood,4,23,8,22,0.204,0.034,4,W,69,125.2,19.764
A,557,Glass,4,23,9,22,0.234,0.039,6,X,70,119.87,17.824
B,793,Steel,4,23,10,23,0.264,0.044,8,Y,68,163.96,23.79
C,698,Concrete,4,23,11,21,0.294,0.049,10,Z,62,127.39,15.356
D,563,Wood,4,23,12,20,0.324,0.054,13,W,79,91.69,7.882
A,722,Glass,4,23,13,22,0.294,0.049,14,X,80,123.54,11.552
B,939,Steel,4,23,14,20,0.264,0.044,14,Y,66,151.52,11.268
C,791,Concrete,4,23,15,20,0.234,0.039,13,Z,66,134,11.074
D,971,Wood,4,23,16,20,0.204,0.034,12,W,78,174.64,15.536
A,941,Glass,4,23,17,20,0.174,0.029,10,X,62,178.52,18.82
B,898,Steel,4,23,18,22,0,0,8,Y,60,203.85,25.144
C,586,Concrete,4,23,19,23,0,0,6,Z,78,143.92,19.924
D,586,Wood,4,23,20,17,0,0,3,W,62,133.26,16.408
A,684,Glass,4,23,21,18,0,0,0,X,63,169.36,24.624
B,864,Steel,4,23,22,19,0,0,-2,Y,72,228.44,36.288
C,746,Concrete,4,23,23,18,0,0,-3,Z,62,195.75,31.332
D,502,Wood,4,23,24,17,0,0,-5,W,77,135.74,22.088
A,792,Glass,4,24,1,18,0,0,-6,X,79,222.39,38.016
B,687,Steel,4,24,2,18,0,0,-4,Y,75,185.49,30.228
C,843,Concrete,4,24,3,17,0,0,-2,Z,79,215.64,32.034
D,737,Wood,4,24,4,16,0,0,-2,W,64,182.63,26.532
A,913,Glass,4,24,5,16,0,0,0,X,65,217.29,29.216
B,605,Steel,4,24,6,17,0,0,1,Y,68,144.35,19.36
C,884,Concrete,4,24,7,16,0.174,0.029,2,Z,66,186.09,24.752
D,515,Wood,4,24,8,21,0.204,0.034,4,W,65,114.46,17.51
A,696,Glass,4,24,9,23,0.234,0.039,6,X,67,152.85,23.664
B,680,Steel,4,24,10,24,0.264,0.044,8,Y,67,143.86,21.76
C,762,Concrete,4,24,11,24,0.294,0.049,10,Z,60,150.2,21.336
D,873,Wood,4,24,12,24,0.324,0.054,13,W,68,157.72,19.206
A,773,Glass,4,24,13,23,0.294,0.049,14,X,60,133.04,13.914
B,752,Steel,4,24,14,22,0.264,0.044,14,Y,79,130.82,12.032
C,697,Concrete,4,24,15,23,0.234,0.039,13,Z,74,129.65,13.94
D,867,Wood,4,24,16,23,0.204,0.034,12,W,61,166,19.074
A,948,Glass,4,24,17,21,0.174,0.029,10,X,67,185.53,20.856
B,565,Steel,4,24,18,21,0,0,8,Y,71,126.67,14.69
C,546,Concrete,4,24,19,23,0,0,6,Z,74,133.66,18.564
D,782,Wood,4,24,20,19,0,0,3,W,60,185.33,25.024
A,544,Glass,4,24,21,18,0,0,0,X,77,136.22,19.584
B,845,Steel,4,24,22,19,0,0,-2,Y,74,223.76,35.49
C,762,Concrete,4,24,23,16,0,0,-3,Z,74,194.16,28.956
D,877,Wood,4,24,24,17,0,0,-5,W,62,234.51,38.588
A,613,Glass,4,25,1,16,0,0,-6,X,70,164.9,26.972
B,517,Steel,4,25,2,17,0,0,-4,Y,75,137.01,21.714
C,762,Concrete,4,25,3,19,0,0,-2,Z,65,200.41,32.004
D,798,Wood,4,25,4,16,0,0,-2,W,80,200.3,28.728
A,878,Glass,4,25,5,16,0,0,0,X,66,209.14,28.096
B,801,Steel,4,25,6,18,0,0,1,Y,71,195.6,27.234
C,668,Concrete,4,25,7,18,0.174,0.029,2,Z,60,146.5,21.376
D,757,Wood,4,25,8,20,0.204,0.034,4,W,61,163.86,24.224
A,827,Glass,4,25,9,24,0.234,0.039,6,X,70,186.25,29.772
B,780,Steel,4,25,10,21,0.264,0.044,8,Y,76,154.72,20.28
C,516,Concrete,4,25,11,20,0.294,0.049,10,Z,75,92.94,10.32
D,542,Wood,4,25,12,20,0.324,0.054,13,W,73,87.62,7.588
A,705,Glass,4,25,13,22,0.294,0.049,14,X,65,118.52,11.28
B,972,Steel,4,25,14,20,0.264,0.044,14,Y,72,158.01,11.664
C,712,Concrete,4,25,15,23,0.234,0.039,13,Z,68,131.58,14.24
D,786,Wood,4,25,16,23,0.204,0.034,12,W,66,151.27,17.292
A,874,Glass,4,25,17,24,0.174,0.029,10,X,68,184.34,24.472
B,678,Steel,4,25,18,23,0,0,8,Y,61,157.43,20.34
C,970,Concrete,4,25,19,24,0,0,6,Z,73,242.11,34.92
D,584,Wood,4,25,20,16,0,0,3,W,66,130.35,15.184
A,930,Glass,4,25,21,17,0,0,0,X,63,225.62,31.62
B,642,Steel,4,25,22,18,0,0,-2,Y,73,166.66,25.68
C,586,Concrete,4,25,23,19,0,0,-3,Z,77,158.45,25.784
D,578,Wood,4,25,24,16,0,0,-5,W,62,151.67,24.276
A,597,Glass,4,26,1,18,0,0,-6,X,79,167.64,28.656
B,934,Steel,4,26,2,19,0,0,-4,Y,75,256.85,42.964
C,710,Concrete,4,26,3,19,0,0,-2,Z,71,187.58,29.82
D,866,Wood,4,26,4,19,0,0,-2,W,80,230.36,36.372
A,540,Glass,4,26,5,17,0,0,0,X,77,132.52,18.36
B,767,Steel,4,26,6,18,0,0,1,Y,70,187.15,26.078
C,647,Concrete,4,26,7,16,0.174,0.029,2,Z,67,136.33,18.116
D,716,Wood,4,26,8,24,0.204,0.034,4,W,75,171.31,28.64
A,788,Glass,4,26,9,21,0.234,0.039,6,X,77,166.75,23.64
B,530,Steel,4,26,10,22,0.264,0.044,8,Y,64,106.51,14.84
C,936,Concrete,4,26,11,21,0.294,0.049,10,Z,71,172.51,20.592
D,909,Wood,4,26,12,21,0.324,0.054,13,W,66,150.22,14.544
A,536,Glass,4,26,13,23,0.294,0.049,14,X,68,93.11,9.648
B,733,Steel,4,26,14,24,0.264,0.044,14,Y,72,133.82,14.66
C,823,Concrete,4,26,15,20,0.234,0.039,13,Z,66,139.42,11.522
D,954,Wood,4,26,16,23,0.204,0.034,12,W,65,183.42,20.988
A,613,Glass,4,26,17,20,0.174,0.029,10,X,77,118.13,12.26
B,959,Steel,4,26,18,24,0,0,8,Y,60,227.28,30.688
C,985,Concrete,4,26,19,20,0,0,6,Z,70,225.57,27.58
D,910,Wood,4,26,20,18,0,0,3,W,68,212.58,27.3
A,825,Glass,4,26,21,19,0,0,0,X,76,210.54,31.35
B,920,Steel,4,26,22,16,0,0,-2,Y,65,228.16,33.12
C,511,Concrete,4,26,23,17,0,0,-3,Z,65,131.84,20.44
D,758,Wood,4,26,24,16,0,0,-5,W,63,199.05,31.836
A,600,Glass,4,27,1,19,0,0,-6,X,73,170.76,30
B,702,Steel,4,27,2,16,0,0,-4,Y,62,180.69,28.08
C,901,Concrete,4,27,3,18,0,0,-2,Z,69,233.18,36.04
D,796,Wood,4,27,4,16,0,0,-2,W,73,198.68,28.656
A,723,Glass,4,27,5,19,0,0,0,X,60,182.2,27.474
B,778,Steel,4,27,6,17,0,0,1,Y,68,185.63,24.896
C,549,Concrete,4,27,7,19,0.174,0.029,2,Z,72,124.46,18.666
D,788,Wood,4,27,8,24,0.204,0.034,4,W,61,186.33,31.52
A,821,Glass,4,27,9,23,0.234,0.039,6,X,72,181.12,27.914
B,531,Steel,4,27,10,24,0.264,0.044,8,Y,76,113.29,16.992
C,765,Concrete,4,27,11,20,0.294,0.049,10,Z,61,135.64,15.3
D,673,Wood,4,27,12,24,0.324,0.054,13,W,65,121.18,14.806
A,599,Glass,4,27,13,22,0.294,0.049,14,X,70,101.3,9.584
B,763,Steel,4,27,14,23,0.264,0.044,14,Y,60,133.65,13.734
C,671,Concrete,4,27,15,23,0.234,0.039,13,Z,61,123.07,13.42
D,798,Wood,4,27,16,20,0.204,0.034,12,W,69,142.09,12.768
A,617,Glass,4,27,17,22,0.174,0.029,10,X,80,125.44,14.808
B,609,Steel,4,27,18,21,0,0,8,Y,74,136.9,15.834
C,604,Concrete,4,27,19,21,0,0,6,Z,71,141.46,18.12
D,826,Wood,4,27,20,19,0,0,3,W,69,197.25,26.432
A,879,Glass,4,27,21,17,0,0,0,X,77,215.71,29.886
B,811,Steel,4,27,22,17,0,0,-2,Y,80,207.62,30.818
C,553,Concrete,4,27,23,18,0,0,-3,Z,71,146.1,23.226
D,789,Wood,4,27,24,17,0,0,-5,W,76,213.19,34.716
A,666,Glass,4,28,1,18,0,0,-6,X,66,185.28,31.968
B,773,Steel,4,28,2,16,0,0,-4,Y,64,199.28,30.92
C,872,Concrete,4,28,3,18,0,0,-2,Z,69,225.67,34.88
D,656,Wood,4,28,4,19,0,0,-2,W,76,173.97,27.552
A,621,Glass,4,28,5,16,0,0,0,X,60,147.18,19.872
B,854,Steel,4,28,6,19,0,0,1,Y,73,213.16,30.744
C,552,Concrete,4,28,7,17,0.174,0.029,2,Z,72,119.62,16.56
D,801,Wood,4,28,8,21,0.204,0.034,4,W,70,178.83,27.234
A,640,Glass,4,28,9,22,0.234,0.039,6,X,68,137.48,20.48
B,976,Steel,4,28,10,23,0.264,0.044,8,Y,65,201.21,29.28
C,902,Concrete,4,28,11,23,0.294,0.049,10,Z,74,175.81,23.452
D,843,Wood,4,28,12,21,0.324,0.054,13,W,66,139.31,13.488
A,757,Glass,4,28,13,20,0.294,0.049,14,X,70,120.45,9.084
B,845,Steel,4,28,14,24,0.264,0.044,14,Y,73,154.43,16.9
C,853,Concrete,4,28,15,23,0.234,0.039,13,Z,80,159.69,17.06
D,635,Wood,4,28,16,22,0.204,0.034,12,W,70,119.55,12.7
A,852,Glass,4,28,17,21,0.174,0.029,10,X,74,167.94,18.744
B,864,Steel,4,28,18,24,0,0,8,Y,65,205.63,27.648
C,836,Concrete,4,28,19,20,0,0,6,Z,63,190.27,23.408
D,957,Wood,4,28,20,18,0,0,3,W,72,224.32,28.71
A,712,Glass,4,28,21,16,0,0,0,X,60,168.74,22.784
B,845,Steel,4,28,22,17,0,0,-2,Y,78,215.98,32.11
C,931,Concrete,4,28,23,16,0,0,-3,Z,60,234.61,35.378
D,690,Wood,4,28,24,16,0,0,-5,W,77,183.13,28.98
A,638,Glass,4,29,1,16,0,0,-6,X,64,170.86,28.072
B,559,Steel,4,29,2,16,0,0,-4,Y,62,143.89,22.36
C,567,Concrete,4,29,3,19,0,0,-2,Z,80,150.82,23.814
D,695,Wood,4,29,4,16,0,0,-2,W,71,173.19,25.02
A,700,Glass,4,29,5,18,0,0,0,X,66,173.74,25.2
B,931,Steel,4,29,6,17,0,0,1,Y,68,222.14,29.792
C,905,Concrete,4,29,7,17,0.174,0.029,2,Z,72,196.12,27.15
D,586,Wood,4,29,8,20,0.204,0.034,4,W,73,128.25,18.752
A,889,Glass,4,29,9,21,0.234,0.039,6,X,71,187.05,26.67
B,737,Steel,4,29,10,23,0.264,0.044,8,Y,79,154,22.11
C,1000,Concrete,4,29,11,20,0.294,0.049,10,Z,68,178.71,20
D,938,Wood,4,29,12,22,0.324,0.054,13,W,63,159.14,16.884
A,863,Glass,4,29,13,20,0.294,0.049,14,X,75,138.17,10.356
B,826,Steel,4,29,14,20,0.264,0.044,14,Y,80,135.6,9.912
C,873,Concrete,4,29,15,21,0.234,0.039,13,Z,67,152.43,13.968
D,656,Wood,4,29,16,21,0.204,0.034,12,W,61,119.04,11.808
A,540,Glass,4,29,17,23,0.174,0.029,10,X,76,112.06,14.04
B,662,Steel,4,29,18,23,0,0,8,Y,62,153.85,19.86
C,807,Concrete,4,29,19,21,0,0,6,Z,75,189.65,24.21
D,711,Wood,4,29,20,19,0,0,3,W,65,169.22,22.752
A,816,Glass,4,29,21,19,0,0,0,X,71,207.43,31.008
B,968,Steel,4,29,22,18,0,0,-2,Y,78,252.26,38.72
C,563,Concrete,4,29,23,19,0,0,-3,Z,63,150.66,24.772
D,784,Wood,4,29,24,18,0,0,-5,W,66,214.19,36.064
A,949,Glass,4,30,1,19,0,0,-6,X,78,271.03,47.45
B,710,Steel,4,30,2,16,0,0,-4,Y,76,184.74,28.4
C,940,Concrete,4,30,3,17,0,0,-2,Z,72,239.14,35.72
D,584,Wood,4,30,4,17,0,0,-2,W,71,148.45,22.192
A,860,Glass,4,30,5,17,0,0,0,X,76,210.87,29.24
B,776,Steel,4,30,6,16,0,0,1,Y,68,181.27,23.28
C,593,Concrete,4,30,7,17,0.174,0.029,2,Z,64,127.56,17.79
D,688,Wood,4,30,8,23,0.204,0.034,4,W,74,161.03,26.144
A,587,Glass,4,30,9,22,0.234,0.039,6,X,69,126.21,18.784
B,528,Steel,4,30,10,24,0.264,0.044,8,Y,77,112.76,16.896
C,697,Concrete,4,30,11,22,0.294,0.049,10,Z,70,131.81,16.728
D,921,Wood,4,30,12,21,0.324,0.054,13,W,79,154.6,14.736
A,760,Glass,4,30,13,21,0.294,0.049,14,X,69,124.57,10.64
B,589,Steel,4,30,14,22,0.264,0.044,14,Y,74,101.87,9.424
C,675,Concrete,4,30,15,23,0.234,0.039,13,Z,71,125.15,13.5
D,642,Wood,4,30,16,20,0.204,0.034,12,W,61,113.29,10.272
A,543,Glass,4,30,17,22,0.174,0.029,10,X,60,108.23,13.032
B,551,Steel,4,30,18,22,0,0,8,Y,68,125.96,15.428
C,533,Concrete,4,30,19,24,0,0,6,Z,75,133.25,19.188
D,972,Wood,4,30,20,16,0,0,3,W,69,217.53,25.272
A,705,Glass,4,30,21,19,0,0,0,X,74,179.63,26.79
B,529,Steel,4,30,22,19,0,0,-2,Y,62,138.81,22.218
C,998,Concrete,4,30,23,19,0,0,-3,Z,71,268.66,43.912
D,639,Wood,4,30,24,17,0,0,-5,W,62,170.87,28.116
